business_id,ViolationTypeID,risk_category,description,business_name,business_address,business_city,business_state,inspection_id,inspection_date,inspection_type,mes,día,año,Aprobado,Observación,Clausurado
84103,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities,TFM Cafe,1353 Taraval St,San Francisco,CA,84103_20180604,2018-06-04,Routine - Unscheduled,June,Monday,2018,False,True,False
84759,103154,Low Risk,Unclean or degraded floors walls or ceilings,Hang Ah Tea Room,1 Pagoda Pl,San Francisco,CA,84759_20171207,2017-12-07,Routine - Unscheduled,December,Thursday,2017,True,False,False
85898,103133,Moderate Risk,Foods not protected from contamination,Urban Remedy,1 Ferry Building,San Francisco,CA,85898_20170127,2017-01-27,Routine - Unscheduled,January,Friday,2017,False,True,False
86283,103129,Moderate Risk,Insufficient hot water or running water,The Baked Bear,2824 Jones St,San Francisco,CA,86283_20170719,2017-07-19,Routine - Unscheduled,July,Wednesday,2017,False,True,False
86362,103139,Low Risk,Improper food storage,Aina,900 22nd St,San Francisco,CA,86362_20180126,2018-01-26,Routine - Unscheduled,January,Friday,2018,True,False,False
86658,103161,Low Risk,Low risk vermin infestation,Clay Oven Indian Cuisine,1689 Church St,San Francisco,CA,86658_20180702,2018-07-02,Routine - Unscheduled,July,Monday,2018,True,False,False
88303,103154,Low Risk,Unclean or degraded floors walls or ceilings,Kushi Tsuru,1737 Post St 380,San Francisco,CA,88303_20180426,2018-04-26,Routine - Unscheduled,April,Thursday,2018,True,False,False
89072,103120,Moderate Risk,Moderate risk food holding temperature,Epicurean@SHCP,1055 Ellis St.,San Francisco,CA,89072_20190925,2019-09-25,Routine - Unscheduled,September,Wednesday,2019,False,True,False
33468,103153,Low Risk,Inadequate dressing rooms or improper storage of personal items,Stacks Restaurant,501 Hayes St,San Francisco,CA,33468_20171130,2017-11-30,Complaint,November,Thursday,2017,True,False,False
36519,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,Pop's Sandwich Shop,737 Portola Dr,San Francisco,CA,36519_20171117,2017-11-17,Reinspection/Followup,November,Friday,2017,False,True,False
57653,103147,Low Risk,Inadequate ventilation or lighting,Tacos San Buena #2,79 Sansome St,San Francisco,CA,57653_20170125,2017-01-25,Structural Inspection,January,Wednesday,2017,True,False,False
68068,103138,Low Risk,Improper storage use or identification of toxic substances,The Chai Cart,525 Market/360 Valencia,San Francisco,CA,68068_20170126,2017-01-26,Structural Inspection,January,Thursday,2017,True,False,False
68148,103121,Moderate Risk,Inadequate procedures or records for time as a public health control,Sheng Kee Bakery & Cafe,814-816 Irving St,San Francisco,CA,68148_20180330,2018-03-30,Complaint,March,Friday,2018,False,True,False
68629,103114,High Risk,High risk vermin infestation,TL Tobacco & Market,301 Turk St,San Francisco,CA,68629_20180129,2018-01-29,Reinspection/Followup,January,Monday,2018,False,False,True
69194,103147,Low Risk,Inadequate ventilation or lighting,Grandma's Deli & Cafe,1551 Mission St,San Francisco,CA,69194_20180402,2018-04-02,Reinspection/Followup,April,Monday,2018,True,False,False
69584,103143,Low Risk,Inadequate warewashing facilities or equipment,Eden Cafe,47 FRANKLIN St,San Francisco,CA,69584_20180702,2018-07-02,Complaint,July,Monday,2018,True,False,False
70425,103142,Low Risk,Unclean nonfood contact surfaces,Peet's Coffee & Tea,1509 SLOAT Blvd,San Francisco,CA,70425_20190723,2019-07-23,New Construction,July,Tuesday,2019,True,False,False
77054,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities,Ramen City,1398 Grant Ave,San Francisco,CA,77054_20190226,2019-02-26,Non-inspection site visit,February,Tuesday,2019,False,True,False
80479,103121,Moderate Risk,Inadequate procedures or records for time as a public health control,The Market On Market,1355 Market St,San Francisco,CA,80479_20180215,2018-02-15,Complaint,February,Thursday,2018,False,True,False
82339,103133,Moderate Risk,Foods not protected from contamination,New Gyro King,25 Grove St,San Francisco,CA,82339_20190423,2019-04-23,Reinspection/Followup,April,Tuesday,2019,False,True,False
82963,103112,High Risk,No hot water or running water,Anzu To You,428 11th St,San Francisco,CA,82963_20170728,2017-07-28,Reinspection/Followup,July,Friday,2017,False,False,True
36348,103120,Moderate Risk,Moderate risk food holding temperature,El Tepa,2198 Folsom St,San Francisco,CA,36348_20191002,2019-10-02,Routine - Unscheduled,October,Wednesday,2019,False,True,False
1289,103131,Moderate Risk,Moderate risk vermin infestation,ORPHAN ANDY'S,3991 A 17th St,San Francisco,CA,1289_20161206,2016-12-06,Routine - Unscheduled,December,Tuesday,2016,False,True,False
4868,103131,Moderate Risk,Moderate risk vermin infestation,NABILA'S HAYES VALLEY HEALTH FOOD,559 HAYES St,San Francisco,CA,4868_20170706,2017-07-06,Routine - Unscheduled,July,Thursday,2017,False,True,False
409,103150,Low Risk,Improper or defective plumbing,EL FARO,82 01st St,San Francisco,CA,409_20170627,2017-06-27,Routine - Unscheduled,June,Tuesday,2017,True,False,False
35565,103133,Moderate Risk,Foods not protected from contamination,Daldas Market,200 Eddy St,San Francisco,CA,35565_20170905,2017-09-05,Routine - Unscheduled,September,Tuesday,2017,False,True,False
60518,103142,Low Risk,Unclean nonfood contact surfaces,Ninki Sushi Bar & Restaurant,1439 TARAVAL St,San Francisco,CA,60518_20170824,2017-08-24,Routine - Unscheduled,August,Thursday,2017,True,False,False
64454,103103,High Risk,High risk food holding temperature,Sushirrito,59 New Montgomery St,San Francisco,CA,64454_20190625,2019-06-25,Routine - Unscheduled,June,Tuesday,2019,False,False,True
60355,103103,High Risk,High risk food holding temperature,Taqueria Castillo B,86 McAllister St,San Francisco,CA,60355_20170927,2017-09-27,Routine - Unscheduled,September,Wednesday,2017,False,False,True
510,103139,Low Risk,Improper food storage,Donut Time,2401 Noriega St,San Francisco,CA,510_20161109,2016-11-09,Routine - Unscheduled,November,Wednesday,2016,True,False,False
73,103154,Low Risk,Unclean or degraded floors walls or ceilings,Santino's Vino,2101 Fillmore St,San Francisco,CA,73_20171129,2017-11-29,Routine - Unscheduled,November,Wednesday,2017,True,False,False
7772,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities,LA REYNA BAKERY,3114 24th St,San Francisco,CA,7772_20190108,2019-01-08,Routine - Unscheduled,January,Tuesday,2019,False,True,False
59934,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities,Ted's Sports Bar & Grill,312 HARRIET St,San Francisco,CA,59934_20180212,2018-02-12,Routine - Unscheduled,February,Monday,2018,False,True,False
59044,103133,Moderate Risk,Foods not protected from contamination,Taqueria Cazadores,1600 C Mission St,San Francisco,CA,59044_20180122,2018-01-22,Routine - Unscheduled,January,Monday,2018,False,True,False
64338,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities,Hi Tops,2247 Market St,San Francisco,CA,64338_20180103,2018-01-03,Routine - Unscheduled,January,Wednesday,2018,False,True,False
2841,103154,Low Risk,Unclean or degraded floors walls or ceilings,"THE OLYMPIC CLUB AT LAKESIDE, UPPER",599 SKYLINE Blvd,San Francisco,CA,2841_20170818,2017-08-18,Routine - Unscheduled,August,Friday,2017,True,False,False
3046,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities,Mollie Stone's Grand Central Market,2435 CALIFORNIA St,San Francisco,CA,3046_20170505,2017-05-05,Routine - Unscheduled,May,Friday,2017,False,True,False
3838,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,CAFE PICARO,3120 16th St,San Francisco,CA,3838_20180222,2018-02-22,Routine - Unscheduled,February,Thursday,2018,False,True,False
2995,103157,Low Risk,Food safety certificate or food handler card not available,CAFE ROCCO,1131 FOLSOM St,San Francisco,CA,2995_20190305,2019-03-05,Routine - Unscheduled,March,Tuesday,2019,True,False,False
38258,103109,High Risk,Unclean or unsanitary food contact surfaces,Hong Kong Bakery,4711 MISSION St,San Francisco,CA,38258_20190108,2019-01-08,Routine - Unscheduled,January,Tuesday,2019,False,False,True
6636,103145,Low Risk,Improper storage of equipment utensils or linens,STARBUCKS,1390 MARKET St,San Francisco,CA,6636_20180417,2018-04-17,Routine - Unscheduled,April,Tuesday,2018,True,False,False
17947,103157,Low Risk,Food safety certificate or food handler card not available,Um Ma Son,5850 GEARY BLVD,San Francisco,CA,17947_20190618,2019-06-18,Routine - Unscheduled,June,Tuesday,2019,True,False,False
30532,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,Roadhouse Cafe,5191 03rd St,San Francisco,CA,30532_20190925,2019-09-25,Routine - Unscheduled,September,Wednesday,2019,False,True,False
63503,103157,Low Risk,Food safety certificate or food handler card not available,Mason Street Deli and Market,39 MASON,San Francisco,CA,63503_20180604,2018-06-04,Routine - Unscheduled,June,Monday,2018,True,False,False
1300,103148,Low Risk,No thermometers or uncalibrated thermometers,WE BE SUSHI,1071 VALENCIA St,San Francisco,CA,1300_20171005,2017-10-05,Routine - Unscheduled,October,Thursday,2017,True,False,False
4608,103109,High Risk,Unclean or unsanitary food contact surfaces,Gourmet Kitchen,1051 Stockton St,San Francisco,CA,4608_20170801,2017-08-01,Routine - Unscheduled,August,Tuesday,2017,False,False,True
1742,103129,Moderate Risk,Insufficient hot water or running water,McAllister Grocery & Deli,136 McAllister St,San Francisco,CA,1742_20170214,2017-02-14,Routine - Unscheduled,February,Tuesday,2017,False,True,False
4844,103103,High Risk,High risk food holding temperature,SAFEWAY #909,730 TARAVAL,San Francisco,CA,4844_20170829,2017-08-29,Routine - Unscheduled,August,Tuesday,2017,False,False,True
2858,103120,Moderate Risk,Moderate risk food holding temperature,Kokkari,200 Jackson St,San Francisco,CA,2858_20170222,2017-02-22,Complaint,February,Wednesday,2017,False,True,False
786,103132,Moderate Risk,Improper thawing methods,Piperade,1015 Battery St,San Francisco,CA,786_20190215,2019-02-15,Routine - Unscheduled,February,Friday,2019,False,True,False
985,103154,Low Risk,Unclean or degraded floors walls or ceilings,The Sunset's Best Seafood Restaurant,3060 TARAVAL St,San Francisco,CA,985_20180924,2018-09-24,Routine - Unscheduled,September,Monday,2018,True,False,False
58745,103150,Low Risk,Improper or defective plumbing,San Francisco Tennis Club,645 05th St,San Francisco,CA,58745_20170112,2017-01-12,Routine - Unscheduled,January,Thursday,2017,True,False,False
2919,103154,Low Risk,Unclean or degraded floors walls or ceilings,OMNI S.F. Hotel - Restaurant & Bar,"500 California St, 1st Floor",San Francisco,CA,2919_20190501,2019-05-01,Routine - Unscheduled,May,Wednesday,2019,True,False,False
3006,103109,High Risk,Unclean or unsanitary food contact surfaces,Local Roots Leidesdorff,70 Leidesdorff St,San Francisco,CA,3006_20171026,2017-10-26,Routine - Unscheduled,October,Thursday,2017,False,False,True
557,103133,Moderate Risk,Foods not protected from contamination,TASTEBUDS,600 05th Ave,San Francisco,CA,557_20180905,2018-09-05,Routine - Unscheduled,September,Wednesday,2018,False,True,False
6677,103138,Low Risk,Improper storage use or identification of toxic substances,SNACK & BOTTLE SHOP,644 PERSIA Ave,San Francisco,CA,6677_20170711,2017-07-11,Routine - Unscheduled,July,Tuesday,2017,True,False,False
1664,103129,Moderate Risk,Insufficient hot water or running water,PANDA EXPRESS,865 MARKET St C24,San Francisco,CA,1664_20190822,2019-08-22,Routine - Unscheduled,August,Thursday,2019,False,True,False
3796,103145,Low Risk,Improper storage of equipment utensils or linens,Johnny Foley's Irish House,243 O'Farrell St,San Francisco,CA,3796_20170417,2017-04-17,Routine - Unscheduled,April,Monday,2017,True,False,False
61514,103145,Low Risk,Improper storage of equipment utensils or linens,Foods Co #357,1800 FOLSOM St,San Francisco,CA,61514_20180425,2018-04-25,Routine - Unscheduled,April,Wednesday,2018,True,False,False
37879,103135,Low Risk,No person in charge of food facility,Cafe Mystique,464 CASTRO St,San Francisco,CA,37879_20181206,2018-12-06,Routine - Unscheduled,December,Thursday,2018,True,False,False
6739,103116,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager,Jamie Supermarket,1135 Stockton St,San Francisco,CA,6739_20161220,2016-12-20,Routine - Unscheduled,December,Tuesday,2016,False,True,False
5267,103144,Low Risk,Unapproved or unmaintained equipment or utensils,Knights Catering,255 MENDELL STREET,San Francisco,CA,5267_20190717,2019-07-17,Routine - Unscheduled,July,Wednesday,2019,True,False,False
1582,103103,High Risk,High risk food holding temperature,Caffe Bianco,39 Sutter St,San Francisco,CA,1582_20171128,2017-11-28,Routine - Unscheduled,November,Tuesday,2017,False,False,True
32671,103161,Low Risk,Low risk vermin infestation,La Taqueria Guadalajara,3146 24th St,San Francisco,CA,32671_20180508,2018-05-08,Routine - Unscheduled,May,Tuesday,2018,True,False,False
58922,103138,Low Risk,Improper storage use or identification of toxic substances,Naples Pizzarella,1192 GENEVA Ave,San Francisco,CA,58922_20170913,2017-09-13,Routine - Unscheduled,September,Wednesday,2017,True,False,False
3165,103145,Low Risk,Improper storage of equipment utensils or linens,HAN IL KWAN,1802 BALBOA St,San Francisco,CA,3165_20181127,2018-11-27,Routine - Unscheduled,November,Tuesday,2018,True,False,False
33160,103103,High Risk,High risk food holding temperature,Mission Bay Cafe,550 Terry Francois St,San Francisco,CA,33160_20161205,2016-12-05,Routine - Unscheduled,December,Monday,2016,False,False,True
2145,103120,Moderate Risk,Moderate risk food holding temperature,FRINGALE,570 04th St,San Francisco,CA,2145_20180517,2018-05-17,Routine - Unscheduled,May,Thursday,2018,False,True,False
8948,103116,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager,SEGAFREDO,33 Powell St,San Francisco,CA,8948_20180208,2018-02-08,Routine - Unscheduled,February,Thursday,2018,False,True,False
2334,103142,Low Risk,Unclean nonfood contact surfaces,LA PAZ RESTAURANT,1028 POTRERO Ave,San Francisco,CA,2334_20190509,2019-05-09,Routine - Unscheduled,May,Thursday,2019,True,False,False
57698,103154,Low Risk,Unclean or degraded floors walls or ceilings,China Fun Express,211 Kearny St,San Francisco,CA,57698_20190829,2019-08-29,Routine - Unscheduled,August,Thursday,2019,True,False,False
943,103107,High Risk,Improper reheating of food,EL CASTILLITO TAQUERIA INC.,136 CHURCH St,San Francisco,CA,943_20180426,2018-04-26,Routine - Unscheduled,April,Thursday,2018,False,False,True
4874,103120,Moderate Risk,Moderate risk food holding temperature,JUMP START COFFEE & GROCERY,1192 GUERRERO St,San Francisco,CA,4874_20170815,2017-08-15,Routine - Unscheduled,August,Tuesday,2017,False,True,False
59577,103132,Moderate Risk,Improper thawing methods,Pasta Moto of San Francisco Centre LLC,845 Market St FE6,San Francisco,CA,59577_20190206,2019-02-06,Routine - Unscheduled,February,Wednesday,2019,False,True,False
884,103120,Moderate Risk,Moderate risk food holding temperature,House of Nanking,919 Kearny St,San Francisco,CA,884_20161005,2016-10-05,Routine - Unscheduled,October,Wednesday,2016,False,True,False
2336,103161,Low Risk,Low risk vermin infestation,Ristorante Ti Piacera,1507 Polk St,San Francisco,CA,2336_20180227,2018-02-27,Routine - Unscheduled,February,Tuesday,2018,True,False,False
1426,103129,Moderate Risk,Insufficient hot water or running water,SWEET DELIGHT BAKERY,4476A MISSION,San Francisco,CA,1426_20161026,2016-10-26,Routine - Unscheduled,October,Wednesday,2016,False,True,False
5144,103156,Low Risk,Permit license or inspection report not posted,POPEYES CHICKEN & BISCUIT,599 DIVISADERO St,San Francisco,CA,5144_20170601,2017-06-01,Routine - Unscheduled,June,Thursday,2017,True,False,False
5838,103144,Low Risk,Unapproved or unmaintained equipment or utensils,HARVEY MILK ELEMENTARY SCHOOL,4235 19th St,San Francisco,CA,5838_20190925,2019-09-25,Routine - Unscheduled,September,Wednesday,2019,True,False,False
488,103142,Low Risk,Unclean nonfood contact surfaces,The House,1230 Grant Ave,San Francisco,CA,488_20180116,2018-01-16,Routine - Unscheduled,January,Tuesday,2018,True,False,False
59988,103154,Low Risk,Unclean or degraded floors walls or ceilings,The Little Chihuahua,292 Divisadero St,San Francisco,CA,59988_20190424,2019-04-24,Routine - Unscheduled,April,Wednesday,2019,True,False,False
60331,103105,High Risk,Improper cooling methods,Sunflower Potrero Hill,288 CONNECTICUT St,San Francisco,CA,60331_20170124,2017-01-24,Routine - Unscheduled,January,Tuesday,2017,False,False,True
39776,103139,Low Risk,Improper food storage,Duc Loi Supermarket,2200 MISSION St,San Francisco,CA,39776_20190422,2019-04-22,Routine - Unscheduled,April,Monday,2019,True,False,False
